order_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,customer_id,distinct_product_id,sum_amount,count_order_item,avg_product_name_length,avg_product_description_length,sum_product_weight,sum_surface_area,mode_product_category_name,count_payment_sequential,distinct_payment_type,max_payment_installments,sum_payment_value,payment_by_installment,review_id,review_score,review_creation_date,review_answer_timestamp
0ab7fb08086d4af9141453c91878ed7a,delivered,2022-04-02 13:42:17,2022-04-04 03:10:19,2022-04-04 18:11:09,2022-04-13 20:21:08,2022-04-18 00:00:00,0b83f73b19c2019e182fd552c048a22c,1,21.400000000000002,1,57.0,364.0,800.0,4640.0,bed_bath_table,1.0,1.0,1.0,21.4,0.0,fab6aa1b4c382a27ae8625faa342c229,4.0,2022-04-14,2022-04-16 20:17:51
cd3558a10d854487b4f907e9b326a4fc,delivered,2021-04-12 08:35:12,2021-04-12 08:50:12,2021-04-12 17:05:42,2021-04-20 16:12:26,2021-05-04 00:00:00,104bdb7e6a6cdceaa88c3ea5fa6b2b93,1,14.36,1,60.0,475.0,800.0,4750.0,sports_leisure,1.0,1.0,1.0,14.36,0.0,2bf2913f793ffd3739c41cccfc43c8c5,1.0,2021-04-21,2021-04-22 13:34:04
8c3d752c5c02227878fae49aeaddbfd7,delivered,2021-12-18 11:08:30,2021-12-18 12:45:31,2021-12-18 20:55:54,2021-12-26 20:58:33,2022-01-12 00:00:00,0b5295fc9819d831f68eb0e9a3e13ab7,1,33.32,1,56.0,707.0,7050.0,8220.0,toys,1.0,1.0,5.0,33.32,1.0,494c3989426b2271e20bbac41e6acf96,5.0,2021-12-27,2021-12-27 23:38:52
fa906f338cee30a984d0945b3832e431,delivered,2021-09-17 16:04:44,2021-09-17 16:15:13,2021-09-18 21:02:46,2021-10-02 21:14:31,2021-10-13 00:00:00,e3cf594a99e810f58af53ed4820f25e5,1,17.05,1,59.0,874.0,200.0,1600.0,fashion_bags_accessories,1.0,1.0,8.0,17.05,1.0,d50791ccc55c7f5ff8fde67e7c3baf59,5.0,2021-10-03,2021-10-04 01:37:44
263ba12390d0fbce329dd16da8cd20f8,delivered,2022-06-20 09:46:53,2022-06-20 10:21:32,2022-06-21 15:17:00,2022-06-22 17:58:39,2022-07-03 00:00:00,616309b2eeb7bd9c05b0fdfbab28e6c6,1,29.47,1,59.0,425.0,1550.0,3798.0,bed_bath_table,1.0,1.0,2.0,29.47,1.0,67a928858fe0b837e9e374ff33d84c1e,4.0,2022-06-23,2022-06-25 14:11:15
728416b0db65935dbf78a0cc03e8d6f8,delivered,2022-02-06 16:10:09,2022-02-08 07:49:51,2022-02-14 19:58:58,2022-02-21 22:22:17,2022-03-12 00:00:00,15090f48004f3b0fc18a167ef82af4db,1,54.0,4,57.0,366.0,6600.0,17760.0,garden_tools,1.0,1.0,1.0,54.0,0.0,a8cee4ce63672b52e482b70236244484,1.0,2022-02-22,2022-02-23 14:44:29
2346e1104a4b18a23e6dc6a87c2d1b8c,delivered,2021-09-01 09:24:39,2021-09-02 02:50:58,2021-09-05 13:16:55,2021-09-14 18:33:48,2021-09-27 00:00:00,b7c13491fd2aecd9308c75bb4de979d8,1,21.39,1,25.0,641.0,517.0,3952.0,baby,1.0,1.0,1.0,21.39,0.0,5cb9e34468bf4ad65598dd4108ac2b75,5.0,2021-09-15,2021-09-16 09:57:25
bc3e295306ee4d3eba91aca49b0bb539,delivered,2021-10-11 07:44:31,2021-10-11 07:56:17,2021-10-13 15:16:26,2021-10-16 19:35:33,2021-10-24 00:00:00,1bc9b2dad6aefbfbc011508e34c8adfc,1,9.120000000000001,2,63.0,431.0,600.0,5200.0,furniture_decor,1.0,1.0,1.0,9.11,0.0,283ae035dc60538aa6d786eee8e62d83,5.0,2021-10-17,2021-10-19 22:13:15
cfde948cbe426f37ac61e0f04215a5f3,delivered,2021-04-20 19:37:14,2021-04-22 10:15:17,2021-04-25 08:23:14,2021-05-09 11:50:02,2021-05-17 00:00:00,d73c3cf4a0922ece1176bd40eb76ac50,1,21.25,1,54.0,245.0,1383.0,5800.0,bed_bath_table,4.0,1.0,1.0,21.25,0.0,8dcb849b13b11f9cb744d07828962965,4.0,2021-05-10,2021-05-12 01:20:39
2927b6be262c5528b8135e5d330c00f9,delivered,2022-05-30 09:19:31,2022-05-30 09:34:59,2022-05-30 14:10:00,2022-06-04 19:08:54,2022-07-04 00:00:00,4ea5df5937187bd3176aee08d4782104,1,13.04,1,53.0,272.0,275.0,2808.0,housewares,3.0,1.0,1.0,13.04,0.0,869696516d580a0871642308af4301f2,4.0,2022-06-05,2022-06-08 10:35:08
